species,hses_code,year,aimag_mn,loss
Адуу,62,2012,Өвөрхангай,0.4
Адуу,62,2013,Өвөрхангай,0.8
Адуу,62,2014,Өвөрхангай,0.4
Адуу,62,2015,Өвөрхангай,2.8
Адуу,62,2016,Өвөрхангай,2
Адуу,62,2017,Өвөрхангай,0.8
Адуу,62,2018,Өвөрхангай,32.9
Адуу,62,2019,Өвөрхангай,4
Адуу,62,2020,Өвөрхангай,12.3
Адуу,62,2021,Өвөрхангай,14.6
Адуу,62,2022,Өвөрхангай,0.8
Адуу,62,2023,Өвөрхангай,10.7
Адуу,62,2024,Өвөрхангай,5.8
Адуу,63,1991,Булган,3.7
Адуу,63,1992,Булган,3.5
Адуу,63,1993,Булган,10.6
Адуу,63,1994,Булган,1
Адуу,63,1995,Булган,1.4
Адуу,63,1996,Булган,4
Адуу,63,1997,Булган,2.1
Адуу,63,1998,Булган,1.2
Адуу,63,1999,Булган,1.2
Адуу,63,2000,Булган,17.4
Адуу,63,2001,Булган,22.9
Адуу,63,2002,Булган,6.8
Адуу,63,2003,Булган,35.3
Адуу,63,2004,Булган,2.3
Адуу,63,2005,Булган,1.5
Адуу,63,2006,Булган,1
Адуу,63,2007,Булган,1.6
Адуу,63,2008,Булган,1
Адуу,63,2009,Булган,2.3
Адуу,63,2010,Булган,10.2
Адуу,63,2011,Булган,4.4
Адуу,63,2012,Булган,2.6
Адуу,63,2013,Булган,1.9
Адуу,63,2014,Булган,1.7
Адуу,63,2015,Булган,4.5
Адуу,63,2016,Булган,5.2
Адуу,63,2017,Булган,9
Адуу,63,2018,Булган,17.2
Адуу,63,2019,Булган,1.7
Адуу,63,2020,Булган,13.9
Адуу,63,2021,Булган,1.7
Адуу,63,2022,Булган,2.3
Адуу,63,2023,Булган,15.7
Адуу,63,2024,Булган,36.4
Адуу,64,1991,Баянхонгор,2
Адуу,64,1992,Баянхонгор,2
Адуу,64,1993,Баянхонгор,9.8
Адуу,64,1994,Баянхонгор,0.8
Адуу,64,1995,Баянхонгор,1.5
Адуу,64,1996,Баянхонгор,3
Адуу,64,1997,Баянхонгор,2.4
Адуу,64,1998,Баянхонгор,2.1
Адуу,64,1999,Баянхонгор,5.9
Адуу,64,2000,Баянхонгор,23.5
Адуу,64,2001,Баянхонгор,39
Адуу,64,2002,Баянхонгор,37.7
Адуу,64,2003,Баянхонгор,1.9
Адуу,64,2004,Баянхонгор,0.9
Адуу,64,2005,Баянхонгор,0.7
Адуу,64,2006,Баянхонгор,1.3
Адуу,64,2007,Баянхонгор,1.5
Адуу,64,2008,Баянхонгор,3.5
Адуу,64,2009,Баянхонгор,7.2
Адуу,64,2010,Баянхонгор,17.2
Адуу,64,2011,Баянхонгор,1.8
Адуу,64,2012,Баянхонгор,0.8
Адуу,64,2013,Баянхонгор,1.6
Адуу,64,2014,Баянхонгор,0.9
Адуу,64,2015,Баянхонгор,1.2
Адуу,64,2016,Баянхонгор,2.1
Адуу,64,2017,Баянхонгор,0.9
Адуу,64,2018,Баянхонгор,7.2
Адуу,64,2019,Баянхонгор,2.1
Адуу,64,2020,Баянхонгор,6.4
Адуу,64,2021,Баянхонгор,30.5
Адуу,64,2022,Баянхонгор,0.6
Адуу,64,2023,Баянхонгор,2.5
Адуу,64,2024,Баянхонгор,14.4
Адуу,65,1991,Архангай,2.5
Адуу,65,1992,Архангай,5.9
Адуу,65,1993,Архангай,9.4
Адуу,65,1994,Архангай,1.6
Адуу,65,1995,Архангай,5.2
Адуу,65,1996,Архангай,3.1
Адуу,65,1997,Архангай,1.7
Адуу,65,1998,Архангай,1.9
Адуу,65,1999,Архангай,1.8
Адуу,65,2000,Архангай,17.9
Адуу,65,2001,Архангай,64.2
Адуу,65,2002,Архангай,10.7
Адуу,65,2003,Архангай,14.2
Адуу,65,2004,Архангай,3.4
Адуу,65,2005,Архангай,2.3
Адуу,65,2006,Архангай,2.7
Адуу,65,2007,Архангай,2.2
Адуу,65,2008,Архангай,4.1
Адуу,65,2009,Архангай,4.1
Адуу,65,2010,Архангай,70.6
Адуу,65,2011,Архангай,3.2
Адуу,65,2012,Архангай,3.2
Адуу,65,2013,Архангай,12.3
Адуу,65,2014,Архангай,9.1
Адуу,65,2015,Архангай,6.6
Адуу,65,2016,Архангай,8.3
Адуу,65,2017,Архангай,7.6
Адуу,65,2018,Архангай,31.8
Адуу,65,2019,Архангай,4.1
Адуу,65,2020,Архангай,25.4
Адуу,65,2021,Архангай,8.7
Адуу,65,2022,Архангай,3.7
Адуу,65,2023,Архангай,46.4
Адуу,65,2024,Архангай,56.7
Адуу,67,1991,Хөвсгөл,5.8
Адуу,67,1992,Хөвсгөл,5.8
Адуу,67,1993,Хөвсгөл,5.6
Адуу,67,1994,Хөвсгөл,1.9
Адуу,67,1995,Хөвсгөл,2.4
Адуу,67,1996,Хөвсгөл,2.4
Адуу,67,1997,Хөвсгөл,2.5
Адуу,67,1998,Хөвсгөл,4.7
Адуу,67,1999,Хөвсгөл,3.1
Адуу,67,2000,Хөвсгөл,11.4
Адуу,67,2001,Хөвсгөл,54
Адуу,67,2002,Хөвсгөл,3.5
Адуу,67,2003,Хөвсгөл,6
