species,hses_code,year,aimag_mn,livestock
Адуу,43,2008,Сэлэнгэ,55.8
Адуу,43,2009,Сэлэнгэ,57.6
Адуу,43,2010,Сэлэнгэ,61.8
Адуу,43,2011,Сэлэнгэ,65.3
Адуу,43,2012,Сэлэнгэ,68.1
Адуу,43,2013,Сэлэнгэ,71.5
Адуу,43,2014,Сэлэнгэ,79.8
Адуу,43,2015,Сэлэнгэ,82.2
Адуу,43,2016,Сэлэнгэ,93.6
Адуу,43,2017,Сэлэнгэ,95.4
Адуу,43,2018,Сэлэнгэ,97.6
Адуу,43,2019,Сэлэнгэ,103.4
Адуу,43,2020,Сэлэнгэ,109.7
Адуу,43,2021,Сэлэнгэ,119.9
Адуу,43,2022,Сэлэнгэ,129.2
Адуу,43,2023,Сэлэнгэ,140.3
Адуу,43,2024,Сэлэнгэ,150.5
Адуу,44,1970,Дорноговь,94.7
Адуу,44,1971,Дорноговь,100.6
Адуу,44,1972,Дорноговь,103.6
Адуу,44,1973,Дорноговь,108.3
Адуу,44,1974,Дорноговь,112.4
Адуу,44,1975,Дорноговь,110
Адуу,44,1976,Дорноговь,108.2
Адуу,44,1977,Дорноговь,102.5
Адуу,44,1978,Дорноговь,105.9
Адуу,44,1979,Дорноговь,105.1
Адуу,44,1980,Дорноговь,98.3
Адуу,44,1981,Дорноговь,95.7
Адуу,44,1982,Дорноговь,97.2
Адуу,44,1983,Дорноговь,91.7
Адуу,44,1984,Дорноговь,90.1
Адуу,44,1985,Дорноговь,88.3
Адуу,44,1986,Дорноговь,83.4
Адуу,44,1987,Дорноговь,82.7
Адуу,44,1988,Дорноговь,82.6
Адуу,44,1989,Дорноговь,85.8
Адуу,44,1990,Дорноговь,82.9
Адуу,44,1991,Дорноговь,77.9
Адуу,44,1992,Дорноговь,78
Адуу,44,1993,Дорноговь,76.9
Адуу,44,1994,Дорноговь,81.4
Адуу,44,1995,Дорноговь,89.4
Адуу,44,1996,Дорноговь,95.8
Адуу,44,1997,Дорноговь,102.1
Адуу,44,1998,Дорноговь,110.7
Адуу,44,1999,Дорноговь,123.2
Адуу,44,2000,Дорноговь,118.9
Адуу,44,2001,Дорноговь,81.3
Адуу,44,2002,Дорноговь,74.8
Адуу,44,2003,Дорноговь,83.1
Адуу,44,2004,Дорноговь,87.5
Адуу,44,2005,Дорноговь,79.1
Адуу,44,2006,Дорноговь,57.5
Адуу,44,2007,Дорноговь,60.8
Адуу,44,2008,Дорноговь,64.6
Адуу,44,2009,Дорноговь,72.8
Адуу,44,2010,Дорноговь,77.4
Адуу,44,2011,Дорноговь,86.5
Адуу,44,2012,Дорноговь,95.6
Адуу,44,2013,Дорноговь,107
Адуу,44,2014,Дорноговь,120.8
Адуу,44,2015,Дорноговь,131.6
Адуу,44,2016,Дорноговь,118.7
Адуу,44,2017,Дорноговь,133.2
Адуу,44,2018,Дорноговь,140
Адуу,44,2019,Дорноговь,152.6
Адуу,44,2020,Дорноговь,165
Адуу,44,2021,Дорноговь,183.8
Адуу,44,2022,Дорноговь,202.2
Адуу,44,2023,Дорноговь,171.7
Адуу,44,2024,Дорноговь,107.1
Адуу,45,1970,Дархан-Уул,0.8
Адуу,45,1971,Дархан-Уул,0.8
Адуу,45,1972,Дархан-Уул,1.2
Адуу,45,1973,Дархан-Уул,1.1
Адуу,45,1974,Дархан-Уул,1.3
