hses_code,year,schools,students,school_density
45,2020,26,22.7,1.145374449339207
45,2021,25,23.5,1.0638297872340425
45,2022,25,24.5,1.0204081632653061
45,2023,25,25.8,0.9689922480620154
45,2024,26,27.2,0.9558823529411765
45,2025,26,28.3,0.9187279151943463
46,2000,19,9.7,1.9587628865979383
46,2001,19,10,1.9
46,2002,18,10.2,1.7647058823529413
46,2003,17,10.3,1.6504854368932038
46,2004,17,10.9,1.5596330275229358
46,2005,17,10.9,1.5596330275229358
46,2006,17,10.7,1.5887850467289721
46,2007,18,10.8,1.6666666666666665
46,2008,18,10.7,1.6822429906542058
46,2009,18,10.5,1.7142857142857142
46,2010,18,10.5,1.7142857142857142
46,2011,19,10.5,1.8095238095238095
46,2012,19,10.4,1.8269230769230769
46,2013,19,10.4,1.8269230769230769
46,2014,20,10.8,1.8518518518518516
46,2015,20,11,1.8181818181818181
46,2016,20,11.4,1.7543859649122806
46,2017,21,11.8,1.7796610169491525
46,2018,21,12.1,1.7355371900826446
46,2019,22,13.4,1.6417910447761193
46,2020,22,14.1,1.5602836879432624
46,2021,22,14.9,1.4765100671140938
46,2022,22,15.7,1.4012738853503186
46,2023,22,16.4,1.3414634146341464
46,2024,24,17.4,1.3793103448275863
46,2025,25,18.3,1.366120218579235
48,2000,20,9.6,2.0833333333333335
48,2001,20,9.7,2.061855670103093
48,2002,20,9.8,2.0408163265306123
48,2003,19,10.1,1.8811881188118813
48,2004,19,10.4,1.8269230769230769
48,2005,19,10.3,1.8446601941747571
48,2006,19,9.9,1.9191919191919191
48,2007,19,9.5,2
48,2008,19,9.2,2.065217391304348
48,2009,18,8.9,2.0224719101123596
48,2010,18,8.4,2.142857142857143
48,2011,18,8.2,2.1951219512195124
48,2012,18,7.7,2.3376623376623376
48,2013,18,7.6,2.368421052631579
48,2014,18,7.6,2.368421052631579
48,2015,19,7.9,2.4050632911392404
48,2016,19,8.1,2.345679012345679
48,2017,19,8.1,2.345679012345679
48,2018,19,8,2.375
48,2019,19,8.4,2.261904761904762
48,2020,19,8.5,2.235294117647059
48,2021,19,8.6,2.2093023255813953
48,2022,19,8.7,2.1839080459770117
48,2023,19,8.8,2.1590909090909087
48,2024,19,9,2.111111111111111
48,2025,19,9.2,2.065217391304348
61,2000,19,19.6,0.9693877551020408
61,2001,23,21,1.0952380952380953
61,2002,13,21.2,0.6132075471698113
61,2003,13,21.4,0.6074766355140188
61,2004,16,22.3,0.7174887892376681
61,2005,15,21.5,0.6976744186046512
61,2006,16,20.7,0.7729468599033816
61,2007,16,20.1,0.7960199004975124
61,2008,16,19.7,0.8121827411167513
61,2009,18,19,0.9473684210526315
61,2010,18,18.1,0.9944751381215469
61,2011,18,17.5,1.0285714285714285
61,2012,20,16.8,1.1904761904761905
61,2013,20,16.7,1.1976047904191618
61,2014,21,17,1.2352941176470589
61,2015,22,18.1,1.2154696132596685
61,2016,22,18.6,1.182795698924731
61,2017,24,19.1,1.256544502617801
61,2018,24,19.8,1.2121212121212122
61,2019,24,21.5,1.1162790697674418
61,2020,24,22.6,1.0619469026548671
61,2021,25,23.5,1.0638297872340425
61,2022,24,24.6,0.975609756097561
61,2023,25,25.8,0.9689922480620154
61,2024,24,26.9,0.892193308550186
61,2025,23,27.9,0.8243727598566308
62,2000,30,19.7,1.5228426395939088
62,2001,30,20.2,1.4851485148514851
62,2002,30,21.3,1.408450704225352
62,2003,28,21.9,1.2785388127853883
62,2004,28,23.7,1.1814345991561181
62,2005,27,24.2,1.115702479338843
62,2006,28,24.1,1.1618257261410787
62,2007,28,24.3,1.1522633744855966
62,2008,28,24.3,1.1522633744855966
62,2009,30,23.7,1.2658227848101267
62,2010,30,22.8,1.3157894736842104
62,2011,29,22,1.3181818181818181
62,2012,29,21.2,1.3679245283018868
62,2013,29,20.8,1.3942307692307692
62,2014,29,20.6,1.407766990291262
62,2015,30,21.2,1.4150943396226416
62,2016,30,21.2,1.4150943396226416
62,2017,30,21.5,1.3953488372093024
62,2018,30,21.5,1.3953488372093024
62,2019,31,21.6,1.4351851851851851
62,2020,32,23.3,1.3733905579399142
62,2021,31,23.9,1.2970711297071131
62,2022,32,24.4,1.3114754098360657
62,2023,32,24.7,1.2955465587044535
62,2024,34,25.1,1.3545816733067728
62,2025,33,25.7,1.284046692607004
63,2000,23,12.4,1.8548387096774193
63,2001,23,12.4,1.8548387096774193
63,2002,24,12.9,1.8604651162790697
63,2003,24,12.8,1.875
63,2004,24,13.1,1.83206106870229
63,2005,24,12.4,1.9354838709677418
63,2006,25,12,2.0833333333333335
63,2007,25,11.7,2.1367521367521367
63,2008,24,11.2,2.142857142857143
63,2009,24,10.7,2.2429906542056077
63,2010,24,10.4,2.3076923076923075
63,2011,22,9.9,2.2222222222222223
63,2012,22,9.4,2.3404255319148937
63,2013,22,9.2,2.3913043478260874
63,2014,22,9.1,2.417582417582418
63,2015,22,9.4,2.3404255319148937
63,2016,22,9.7,2.2680412371134024
63,2017,21,9.9,2.121212121212121
63,2018,22,10,2.2
63,2019,22,10.7,2.0560747663551404
63,2020,22,11.1,1.981981981981982
63,2021,22,11.3,1.9469026548672566
63,2022,22,11.4,1.9298245614035088
63,2023,22,11.3,1.9469026548672566
63,2024,22,11.5,1.9130434782608696
63,2025,22,11.4,1.9298245614035088
64,2000,28,17.1,1.6374269005847952
64,2001,28,17.7,1.5819209039548023
64,2002,27,18.3,1.4754098360655736
64,2003,28,19.1,1.4659685863874345
64,2004,29,19.6,1.4795918367346939
64,2005,29,19.3,1.5025906735751295
64,2006,30,19.2,1.5625
64,2007,29,19.5,1.4871794871794872
64,2008,30,18.9,1.5873015873015874
64,2009,31,18.1,1.7127071823204418
64,2010,29,17.2,1.686046511627907
64,2011,29,16.5,1.7575757575757576
64,2012,29,15.9,1.8238993710691824
64,2013,29,15.2,1.9078947368421053
64,2014,29,15.4,1.883116883116883
64,2015,29,15.6,1.858974358974359
64,2016,29,15.7,1.8471337579617835
64,2017,29,16.1,1.8012422360248446
64,2018,30,16.2,1.8518518518518519
64,2019,31,17.5,1.7714285714285714
64,2020,31,18.1,1.7127071823204418
64,2021,33,18.5,1.7837837837837838
64,2022,33,18.7,1.7647058823529413
64,2023,32,19.1,1.6753926701570678
64,2024,32,19.5,1.641025641025641
64,2025,32,20,1.6
65,2000,32,18.8,1.702127659574468
65,2001,32,19.2,1.6666666666666667
65,2002,35,19.6,1.7857142857142856
65,2003,34,20,1.7
65,2004,35,20.8,1.6826923076923077
65,2005,35,21.3,1.6431924882629108
65,2006,36,20.7,1.7391304347826086
65,2007,36,20.8,1.7307692307692306
65,2008,35,20.6,1.6990291262135921
65,2009,35,20.2,1.7326732673267327
65,2010,35,19.6,1.7857142857142856
65,2011,33,18.8,1.7553191489361701
65,2012,32,17.9,1.787709497206704
65,2013,32,17.5,1.8285714285714285
65,2014,32,16.7,1.9161676646706587
65,2015,34,17.2,1.9767441860465118
65,2016,33,17.3,1.9075144508670518
65,2017,33,17.3,1.9075144508670518
65,2018,33,17.2,1.9186046511627908
65,2019,33,18.2,1.8131868131868132
65,2020,33,18.7,1.7647058823529413
65,2021,32,19,1.6842105263157894
65,2022,30,19.5,1.5384615384615385
65,2023,30,19.8,1.5151515151515151
65,2024,30,19.8,1.5151515151515151
65,2025,30,19.8,1.5151515151515151
67,2000,32,22.9,1.3973799126637556
67,2001,33,23.7,1.3924050632911393
67,2002,31,25.3,1.225296442687747
67,2003,32,25.8,1.2403100775193798
67,2004,33,26.7,1.2359550561797754
67,2005,33,27.1,1.2177121771217712
