b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
56,1.506024096385542,0.11903595573987168,0.09582224958531985,-0.02321370615455183,2393,1079,1314,FALSE,FALSE,
57,1.0650428339903726,0.11735276797416168,0.08156259304943073,-0.03579017492473095,3256,902,2354,FALSE,FALSE,
58,1.0380060250036154,0.11990607684587473,0.08944212196479251,-0.030463954881082222,4624,2049,2575,FALSE,FALSE,
59,1.0380060250036154,0.12325368381890316,0.07415420253844651,-0.049099481280456644,3710,1432,2278,FALSE,FALSE,
60,1.506024096385542,0.1131548494906874,0.051360417526163625,-0.06179443196452377,3233,2225,1008,FALSE,FALSE,
61,1.0380060250036154,0.1178431300327147,0.08926112200131048,-0.02858200803140422,4150,1619,2531,FALSE,FALSE,
62,1.0380060250036154,0.12637528538725323,0.09029731690656893,-0.0360779684806843,4016,1608,2408,FALSE,FALSE,
63,1.0380060250036154,0.12138549429695597,0.0971106843832415,-0.024274809913714473,4102,1344,2758,TRUE,FALSE,S_cluster unavailable; used robust S
64,1.506024096385542,0.10351414052782698,0.068208730859650707,-0.035305409668176274,2481,1207,1274,FALSE,FALSE,
65,1.0380060250036154,0.12136722639009498,0.07746016797960527,-0.04390705841048971,3017,672,2345,TRUE,FALSE,S_cluster unavailable; used robust S
66,1.506024096385542,0.11604856819435425,0.06147686501283218,-0.05457170318152207,2342,609,1733,FALSE,FALSE,
67,1.0130020360098193,0.11090951786978924,0.07973249112254469,-0.031177026747244554,3361,785,2576,FALSE,FALSE,
68,1.0380060250036154,0.11855764703565473,0.08174712512974215,-0.03681052190591258,3817,1377,2440,FALSE,FALSE,
69,1.506024096385542,0.11891368877367646,0.08471305099479998,-0.03420063777887648,3030,1809,1221,FALSE,FALSE,
70,1.1372159625595029,0.12250587549001361,0.10059270927868588,-0.02191316621132773,3149,1149,2000,FALSE,FALSE,
71,1.0650428339903726,0.11446972444381043,0.09428541512675842,-0.020184309317052007,3468,1066,2402,FALSE,FALSE,
72,1.1372159625595029,0.1225679116779632,0.09577431508553415,-0.026793596592429053,4928,2579,2349,FALSE,FALSE,
73,1.1372159625595029,0.1221815546168394,0.09266775952223534,-0.029513795094604056,3847,1696,2151,FALSE,FALSE,
74,1.503995577222697,0.12324648431120727,0.09464922115723104,-0.028597263153976232,2391,1320,1071,FALSE,FALSE,
75,2.0695101745503472,0.10261767942228824,0.070525384332219,-0.03209229509006924,2698,2449,249,FALSE,FALSE,
76,1.506024096385542,0.11114698071543372,0.0666407072712805,-0.04450627344415321,2524,624,1900,FALSE,FALSE,
77,1.4958916250210248,0.11954661410121226,0.05648032159728833,-0.06306629250392393,3233,1333,1900,FALSE,FALSE,
78,1.8079931039396437,0.1135677853463934,0.07838516940338373,-0.03518261594300967,2601,2011,590,FALSE,FALSE,
79,1.874489589650293,0.09190440761676927,0.056815788322941596,-0.03508861929382767,2494,2008,486,FALSE,FALSE,
80,1.0380060250036154,0.12436527839976541,0.07131811664782871,-0.0530471617519367,3697,1520,2177,FALSE,FALSE,
81,1.1372159625595029,0.12362244784739097,0.08270104955793224,-0.04092139828945873,3274,1237,2037,FALSE,FALSE,
82,1.5095785440613028,0.11307977427044076,0.08132377650189805,-0.03175599776854271,2310,1000,1310,FALSE,FALSE,
83,1.7042314486291816,0.09872316347017779,0.09102123937159338,-0.007701924098584403,2413,1151,1262,FALSE,FALSE,
84,1.1372159625595029,0.1203898301816026,0.11701663164573638,-0.0033731985358662203,2724,275,2449,FALSE,FALSE,
85,1.506024096385542,0.1231658037517359,0.06837949254015602,-0.05478631121157988,2443,1076,1367,FALSE,FALSE,
86,1.711715043945561,0.07966664600623091,0.11249881707477556,0.03283217106854465,2288,1391,897,FALSE,FALSE,
87,1.1372159625595029,0.12830959339095113,0.10965178054050377,-0.01865781285044736,3289,1192,2097,FALSE,FALSE,
88,1.4958916250210248,0.08525057746958122,0.06724124547642915,-0.018009331993152064,2583,948,1635,FALSE,FALSE,
89,1.494026438253195,0.11040986575539552,0.06830719917250544,-0.04210266658289008,2229,1170,1059,FALSE,FALSE,
90,1.1372159625595029,0.11591196932783703,0.08823248735500601,-0.027679481972831016,3613,1053,2560,FALSE,FALSE,
91,1.506024096385542,0.11232653604942239,0.055661139739297316,-0.05666539631012507,3428,2000,1428,FALSE,FALSE,
92,1.506024096385542,0.10933289159277865,0.08656065859308391,-0.022772232999694733,3237,1847,1390,FALSE,FALSE,
93,1.7046872135963096,0.09854921512578863,0.08197165003152387,-0.01657756509426475,2800,1103,1697,FALSE,FALSE,
94,1.0380060250036154,0.12064419407975784,0.10051859555303239,-0.02012559852672545,4661,2137,2524,FALSE,FALSE,
95,1.0380060250036154,0.11595051503914126,0.07895327156875445,-0.03699724347038681,3984,1410,2574,FALSE,FALSE,
96,1.506024096385542,0.11454036644199869,0.060166396825336414,-0.05437396961666228,2451,844,1607,FALSE,FALSE,
97,1.2021857923497268,0.11967153563025106,0.1013925941139743,-0.01827894151627675,3961,1826,2135,FALSE,FALSE,
98,1.0650428339903726,0.11666589645173295,0.08197278927774698,-0.034693107173985965,4638,2492,2146,FALSE,FALSE,
99,1.506024096385542,0.12056768262338578,0.08244269237250568,-0.038124990250880106,3085,1603,1482,FALSE,FALSE,
100,1.503995577222697,0.1130214194237315,0.08306409193768227,-0.029957327486049234,3124,1781,1343,FALSE,FALSE,
101,1.0380060250036154,0.12024667473706951,0.09655466958820821,-0.0236920051488613,3200,793,2407,FALSE,FALSE,
102,1.8079931039396437,0.08850537290200347,0.07817475067137657,-0.010330622230626904,2596,2115,481,FALSE,FALSE,
103,1.0380060250036154,0.11803079866074366,0.09711472254491246,-0.020916076115831198,3644,1498,2146,FALSE,FALSE,
104,1.702127659574468,0.1200708765385751,0.10089126434768023,-0.019179612190894868,2196,714,1482,FALSE,FALSE,
105,1.8184885514610207,0.09069739574302971,0.06675901872612598,-0.023938377016903725,2502,2000,502,FALSE,FALSE,
106,1.0380060250036154,0.12064848384063497,0.0780254445298385,-0.04262303931079646,4432,2137,2295,FALSE,FALSE,
107,1.7236671891437996,0.09667339767577407,0.09150987679527453,-0.005163520880499539,2686,1549,1137,FALSE,FALSE,
108,1.1372159625595029,0.1302622719436411,0.09321098780548723,-0.03705128413815387,2418,248,2170,FALSE,FALSE,
109,1.7042314486291816,0.07912884293158882,0.07524721624163444,-0.0038816266899543844,2532,1395,1137,FALSE,FALSE,
110,1.0650428339903726,0.11256902234644363,0.08478152815745893,-0.0277874941889847,3240,978,2262,FALSE,FALSE,
111,1.7236671891437996,0.09438644991028837,0.08303896187775794,-0.011347488032530426,2455,1581,874,FALSE,FALSE,
112,1.0380060250036154,0.1196267882730479,0.10839564743354536,-0.011231140839502537,4601,2291,2310,FALSE,FALSE,
113,1.506024096385542,0.12514531687452968,0.0775608071184475,-0.04758450975608218,3343,1973,1370,FALSE,FALSE,
114,1.8079931039396437,0.11801817285087571,0.09764709372986366,-0.020371079121012048,4725,3697,1028,FALSE,FALSE,
115,1.506024096385542,0.1196147232586327,0.060610134740546995,-0.05900458851808571,3040,2024,1016,FALSE,FALSE,
116,1.0380060250036154,0.12056346272481756,0.08031419182242214,-0.040249270902395426,4850,2137,2713,FALSE,FALSE,
117,1.0380060250036154,0.11950682215573445,0.09979926948350742,-0.019707552672227027,3134,793,2341,FALSE,FALSE,
118,1.6374269005847952,0.08407636592125149,0.10178256748732037,0.017706201566068877,2418,1282,1136,FALSE,FALSE,
119,1.7835271012483687,0.07930748639122043,0.06756463037794314,-0.011742856013277292,2785,2492,293,FALSE,FALSE,
120,1.0650428339903726,0.1150796238561556,0.08220400178867493,-0.03287562206748067,3032,814,2218,FALSE,FALSE,
121,1.506024096385542,0.1122833622806538,0.062409103014164836,-0.04987425926648897,3211,1852,1359,FALSE,FALSE,
122,1.739781018058746,0.06186006394947624,0.07139624539520018,0.009536181445723935,2464,1746,718,FALSE,FALSE,
123,1.7042314486291816,0.10141571246878581,0.07211570436079891,-0.0293000081079869,2365,1057,1308,FALSE,FALSE,
124,1.702127659574468,0.12250095758215702,0.09174781075056697,-0.030753146831590056,3086,1897,1189,FALSE,FALSE,
125,1.020533066128087,0.11258725298695656,0.07612455871887255,-0.036462694268084,4083,1194,2889,FALSE,FALSE,
126,1.0380060250036154,0.12193468691265175,0.09575404199093354,-0.026180644921718205,3202,881,2321,FALSE,FALSE,
127,1.506024096385542,0.1064791390649169,0.053790706407759376,-0.05268843265715753,3002,896,2106,FALSE,FALSE,
