gamma,N,N_low,N_high,beta_low,se_low,p_low,beta_high,se_high,p_high,objective_value,warning_flag,warning_note
1.6021551711565598,3188,1932,1256,0.10608574322243779,0.010621058829062753,1.9777326930322722e-9,0.09682156722353646,0.012634830574344662,1.6301122996150083e-7,46012.131696963945,FALSE,
1.652879160317004,3188,1981,1207,0.10676887863647434,0.010361995120782997,1.1440514410255784e-9,0.09415008841502524,0.013074582665116746,4.2623577604058385e-7,46013.23073029408,FALSE,
1.0239016947274955,3188,684,2504,0.10387252844551113,0.011406536290324036,9.720376212898809e-9,0.10300544494185786,0.011991415614688897,2.5838036370981678e-8,46013.48649316424,FALSE,
1.1862184600409171,3188,1091,2097,0.10389271004566436,0.012010999587418686,2.3029385700242142e-8,0.10265579046310727,0.013022010345518292,1.0415560573274873e-7,46013.99246670954,FALSE,
1.784761532134159,3188,2526,662,0.10337902803661067,0.012122160826241474,2.911316057191766e-8,0.10268441873740367,0.010232259673759176,1.8212275437083342e-9,46014.18174624726,FALSE,
1.4804175971714937,3188,1648,1540,0.10362245979668744,0.011397027598516622,9.983330314818536e-9,0.10267714000518116,0.01463558273447468,6.319017080215204e-7,46016.56589069936,FALSE,
1.6985307505614038,3188,2033,1155,0.10836235283315551,0.00965022334936612,2.452927766621066e-10,0.09055791282328979,0.011279204865978304,7.774652096723557e-8,46017.25452796736,FALSE,
1.4905623950035825,3188,1659,1529,0.10366885860175157,0.011419506208488514,1.0243924802170591e-8,0.10261102416873538,0.014576047606356947,6.001969087493466e-7,46017.426607924164,FALSE,
1.3079560340259833,3188,1398,1790,0.10355240343161039,0.011216026994111712,7.695349772536043e-9,0.10291167532767714,0.014059371373764144,3.320057742066341e-7,46017.464674347524,FALSE,
1.9014267072031807,3188,2757,431,0.10342132917836418,0.01186534465878733,2.027872594544421e-8,0.10214453899884357,0.01172882608058334,2.0567642239365338e-8,46017.887620607326,FALSE,
