b,gamma_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
119,25.679347826086957,0.07378527992163507,0.11455346087339974,0.04076818095176467,904,783,121,FALSE,FALSE,
120,17.41357234314981,0.11661174555302539,0.11144784765171734,-0.005163897901308057,1041,133,908,FALSE,FALSE,
121,21.48070907194995,0.08433778490839419,0.11739813617880684,0.03306035127041265,1110,585,525,FALSE,FALSE,
122,17.41357234314981,0.041750996665177904,0.07007457723322089,0.02832358056804298,746,140,606,FALSE,FALSE,
123,25.679347826086957,0.11974173656952049,0.2091184017697248,0.0893766652002043,807,723,84,FALSE,FALSE,
124,17.992047713717692,0.07547873406921757,0.11633871610855935,0.04085998203934178,1056,156,900,FALSE,FALSE,
125,17.780748663101605,0.04400166635723556,0.08556526718653808,0.041563600829302515,999,110,889,FALSE,FALSE,
126,25.42759407069555,0.10405354372216238,0.14089568197068253,0.036842138248520145,931,761,170,FALSE,FALSE,
127,25.18676627534685,0.07244928302461325,0.11991672603295978,0.04746744300834653,1158,973,185,FALSE,FALSE,
128,18.05416248746239,0.079681384612651035,0.1106779907314262,0.030996606118775166,1020,212,808,FALSE,FALSE,
129,25.806451612903224,0.12404662716216083,0.13378149101033196,0.009734863848171127,1035,877,158,FALSE,FALSE,
130,25.387596899224807,0.10096504722352213,0.1335061215577692,0.032541074334247064,1040,846,194,FALSE,FALSE,
131,25.235849056603772,0.11004839934626855,0.12120323671740614,0.011154837371137594,833,678,155,FALSE,FALSE,
132,25.679347826086957,0.09960709479444801,0.15219733681860978,0.052590242024161765,1003,884,119,FALSE,FALSE,
133,25.42759407069555,0.10021276487625207,0.17201542166446981,0.07180265678821775,1130,954,176,FALSE,FALSE,
134,18.838028169014084,0.22708402007241482,0.18901070833320083,-0.038073311739213994,855,347,508,FALSE,FALSE,
135,25.42759407069555,0.09906293294329713,0.14264559137404886,0.043582658430751736,938,818,120,FALSE,FALSE,
136,25.235849056603772,0.09550095380787921,0.12415696772057036,0.028656013912691153,1270,1033,237,FALSE,FALSE,
137,25.666666666666668,0.07599939686034284,0.10950036577374547,0.03350096891340264,865,736,129,FALSE,FALSE,
138,25.02883506343714,0.10402175143309643,0.1751831861967725,0.07116143476367608,833,662,171,FALSE,FALSE,
139,18.181818181818183,0.10320510892602586,0.13886035217985482,0.03565524325382896,846,86,760,FALSE,FALSE,
140,25.46875,0.10879534126975668,0.15346726109098138,0.044671919821224704,1073,896,177,FALSE,FALSE,
141,25.235849056603772,0.09648951724286323,0.1322167947211558,0.035727277478292574,998,771,227,FALSE,FALSE,
142,25.46875,0.10655447604130477,0.1657455938832804,0.059191117841975616,977,783,194,FALSE,FALSE,
143,25.387596899224807,0.10671884960928812,0.12786158921967375,0.021142739610385625,1177,976,201,FALSE,FALSE,
144,25.387596899224807,0.10807103619096897,0.12022867741253557,0.012157641221566595,1208,1014,194,FALSE,FALSE,
145,25.235849056603772,0.12903558137023294,0.1456251914171669,0.01658961004693396,1308,1018,290,FALSE,FALSE,
146,25.46875,0.10548495870210445,0.13520621694285442,0.029721258240749976,1167,940,227,FALSE,FALSE,
147,25.679347826086957,0.13044546372414142,0.14896709231139282,0.0185216285872514,952,777,175,FALSE,FALSE,
148,19.979612640163097,0.11108825740900448,0.11716045425968237,0.006072196850677891,1390,583,807,FALSE,FALSE,
149,17.94871794871795,0.07447963959655002,0.1240387281718974,0.04955908857534738,1204,164,1040,FALSE,FALSE,
150,20.54973821989529,0.12118384781315111,0.09405449494883694,-0.02712935286431417,1196,636,560,FALSE,FALSE,
151,25.235849056603772,0.08436258499190309,0.11215486257068173,0.02779227757877864,1116,943,173,FALSE,FALSE,
152,17.41357234314981,0.08833585322154287,0.10896558964972361,0.020629736428180737,1105,183,922,FALSE,FALSE,
153,25.235849056603772,0.14717431010448553,0.18306481798540108,0.03589050788091555,981,745,236,FALSE,FALSE,
154,17.971014492753625,0.04566675875024981,0.07997948243741143,0.03431272368716162,1010,134,876,FALSE,FALSE,
155,25.387596899224807,0.09466624842447632,0.13224174819956208,0.03757549977508576,844,727,117,FALSE,FALSE,
156,17.41357234314981,0.06374310929537402,0.08607453016825585,0.022331420872881827,1160,178,982,FALSE,FALSE,
157,25.519287833827892,0.08814553370499469,0.195268292786579,0.10712275908158432,1075,969,106,FALSE,FALSE,
158,25.519287833827892,0.0910800480191912,0.1277526992572341,0.03667265123804289,1249,978,271,FALSE,FALSE,
159,19.707207207207208,0.09413917455452994,0.11051352468691497,0.01637435013238503,1282,572,710,FALSE,FALSE,
160,19.707207207207208,0.08924973764959217,0.12628505259028128,0.03703531494068911,1078,491,587,FALSE,FALSE,
161,25.387596899224807,0.10372646337835789,0.12425746355215567,0.020531000173797775,842,697,145,FALSE,FALSE,
162,25.806451612903224,0.09966921429591719,0.11263040820107104,0.01296119390515385,990,804,186,FALSE,FALSE,
163,25.806451612903224,0.10436909571269296,0.12916655639099098,0.024797460678298022,1182,988,194,FALSE,FALSE,
164,19.527235354573484,0.10446841193535457,0.12811679873632095,0.023648386800966384,1355,271,1084,FALSE,FALSE,
165,25.072886297376094,0.07040664960818266,0.1430592261220868,0.07265257651390414,989,832,157,FALSE,FALSE,
166,21.48070907194995,0.09985510643550219,0.12744166271334134,0.027586556277839153,1317,664,653,FALSE,FALSE,
167,25.387596899224807,0.10916165139593464,0.1300979543256731,0.020936302929738443,1136,908,228,FALSE,FALSE,
168,25.519287833827892,0.1309032116473136,0.18089934002932498,0.04999612838201137,1192,916,276,FALSE,FALSE,
169,25.56291390728477,0.08671485141660948,0.15496840723902752,0.06825355582241804,1058,903,155,FALSE,FALSE,
170,17.992047713717692,0.07057915013181243,0.12201936720956955,0.05144021707775712,1310,151,1159,FALSE,FALSE,
171,16.92844677137871,0.053958877561541635,0.12192091135270079,0.06796203379115916,1043,125,918,FALSE,FALSE,
172,25.46875,0.09411211401568798,0.12801857068840858,0.0339064566727206,969,806,163,FALSE,FALSE,
173,25.519287833827892,0.09440746219394744,0.14350992308588298,0.04910246089193554,937,764,173,FALSE,FALSE,
174,19.911552151871426,0.08515288914324277,0.10997484685837824,0.02482195771513547,1087,535,552,FALSE,FALSE,
175,25.519287833827892,0.09671424701813136,0.15915545023720618,0.062441203219074815,870,717,153,FALSE,FALSE,
176,25.235849056603772,0.05951817785360826,0.09342862556144979,0.03391044770784153,737,650,87,FALSE,FALSE,
177,25.519287833827892,0.09155884667080136,0.125844573872352,0.03428572720155065,1045,856,189,FALSE,FALSE,
178,25.42759407069555,0.10982060097833217,0.14282573328144374,0.03300513230311157,1091,865,226,FALSE,FALSE,
179,19.384615384615383,0.07560378110015847,0.11982376926634586,0.044219988166187385,1214,270,944,FALSE,FALSE,
180,25.519287833827892,0.12266832747846129,0.15620109787901681,0.03353277040055552,1170,922,248,FALSE,FALSE,
181,21.48070907194995,0.09845673534741596,0.11736627366103798,0.01890953831362202,1375,848,527,FALSE,FALSE,
182,25.235849056603772,0.0699183048987582,0.10004736744921523,0.03012906255045704,837,671,166,FALSE,FALSE,
183,17.41357234314981,0.0503174099660881,0.08998703882379093,0.03966962885770283,970,153,817,FALSE,FALSE,
184,25.418410041841003,0.12133537751354138,0.14821037548111943,0.026874997967578043,966,797,169,FALSE,FALSE,
185,25.519287833827892,0.10684835359815276,0.11874357764730102,0.011895224049148265,829,679,150,FALSE,FALSE,
186,25.235849056603772,0.10698936790553992,0.13093207315072092,0.023942705245180995,1090,914,176,FALSE,FALSE,
187,21.925925925925927,0.1429084858417902,0.1190357558987706,-0.02387272994301959,745,462,283,FALSE,FALSE,
188,17.46987951807229,0.07732110243952672,0.11091023334927144,0.03358913090974472,807,153,654,FALSE,FALSE,
189,25.235849056603772,0.1194134844582671,0.13450207879400278,0.015088594335735672,1221,1028,193,FALSE,FALSE,
190,17.41357234314981,0.04879633788455006,0.0934490193503959,0.04465268146584584,1300,170,1130,FALSE,FALSE,
191,16.020114942528735,-0.0167862630962117,0.1089616168062239,0.1257478799024356,738,76,662,FALSE,FALSE,
192,21.48070907194995,0.09297041410322342,0.11277763114846014,0.01980721704523672,1391,846,545,FALSE,FALSE,
193,25.418410041841003,0.13297319595840634,0.1827857949761427,0.04981259901773635,913,780,133,FALSE,FALSE,
194,16.294642857142858,0.011521050488399513,0.08791846873584575,0.07639741824744622,883,94,789,FALSE,FALSE,
195,25.46875,0.08726808882944449,0.15817111570126785,0.07090302687182336,1007,827,180,FALSE,FALSE,
196,21.925925925925927,0.1266903921033887,0.09305465427169438,-0.03363573783169432,816,488,328,FALSE,FALSE,
197,25.06393861892583,0.09548625740278396,0.1632975392332592,0.06781128183047525,1223,950,273,FALSE,FALSE,
198,25.418410041841003,0.08458600621213203,0.12903854865521908,0.04445254244308705,1026,886,140,FALSE,FALSE,
199,25.519287833827892,0.0805348535458267,0.14723802392039828,0.06670317037457157,939,796,143,FALSE,FALSE,
200,25.736235595390525,0.12132935165667125,0.16817900089484397,0.046849649238172725,893,779,114,FALSE,FALSE,
201,25.46875,0.09252745679309644,0.14409540787162417,0.05156795107852773,990,836,154,FALSE,FALSE,
202,25.46875,0.11512598116881959,0.13692202656431596,0.021796045395496372,925,744,181,FALSE,FALSE,
203,25.42759407069555,0.11450311335276298,0.1505492284979234,0.03604611514516043,1166,894,272,FALSE,FALSE,
204,25.387596899224807,0.106694609547077,0.12952725371086027,0.022832644163783264,746,649,97,FALSE,FALSE,
205,25.46875,0.09930035478393998,0.12857623925705697,0.029275884473116992,951,755,196,FALSE,FALSE,
206,25.119617224880383,0.11095045569950138,0.12670719799781463,0.015756742298313253,1150,943,207,FALSE,FALSE,
207,19.384615384615383,0.0801047928265912,0.10420933302403655,0.024104540197445345,1346,428,918,FALSE,FALSE,
208,25.18676627534685,0.10382593670827314,0.13722553584521932,0.03339959913694618,1100,855,245,FALSE,FALSE,
209,21.48070907194995,0.11734583837726485,0.12844105945814407,0.011095221080879222,1302,672,630,FALSE,FALSE,
210,25.666666666666668,0.10078272782981343,0.11857372657943509,0.01779099874962166,828,697,131,FALSE,FALSE,
211,25.806451612903224,0.08406412633091664,0.10884392472751105,0.024779798396594402,888,744,144,FALSE,FALSE,
212,17.41357234314981,0.040781221125957286,0.09127664893854423,0.050495427812586945,802,107,695,FALSE,FALSE,
213,25.06393861892583,0.0727338346073694,0.1386327412510793,0.0658989066437099,1237,1008,229,FALSE,FALSE,
214,21.48070907194995,0.09554261231244131,0.10517741797722091,0.009634805664779603,1251,718,533,FALSE,FALSE,
215,25.119617224880383,0.11382456773566574,0.15217669466646214,0.0383521269307964,1088,868,220,FALSE,FALSE,
216,25.679347826086957,0.08477294461054559,0.10343141479795154,0.01865847018740595,966,790,176,FALSE,FALSE,
217,25.679347826086957,0.10856834195410343,0.15796344995687558,0.04939510800277215,1030,860,170,FALSE,FALSE,
218,21.41997593261131,0.11734242888688258,0.13449032228818905,0.01714789340130647,1343,716,627,FALSE,FALSE,
219,25.46875,0.09587642524495658,0.14373353970893785,0.04785711446398126,980,806,174,FALSE,FALSE,
220,26.057906458797326,0.11110949250344015,0.150985357157971,0.03987586465453086,888,771,117,FALSE,FALSE,
221,17.41357234314981,0.07017535546834419,0.0959432669466778,0.025767911478333613,1098,123,975,FALSE,FALSE,
222,25.42759407069555,0.08308927731570992,0.1642315911235802,0.08114231380787029,856,735,121,FALSE,FALSE,
223,25.666666666666668,0.0926095623246885,0.13319444535709649,0.04058488303240798,921,827,94,FALSE,FALSE,
224,17.869415807560138,0.04865433070760164,0.10453411763613432,0.05587978692853268,1032,189,843,FALSE,FALSE,
225,17.182817182817182,0.16606078296096513,0.10857555848158905,-0.05748522447937608,928,201,727,FALSE,FALSE,
226,25.46875,0.10159257996021448,0.14222261793184474,0.040630037971630256,1030,841,189,FALSE,FALSE,
227,21.48070907194995,0.10993208348334604,0.12021664040934865,0.010284556926002608,1180,646,534,FALSE,FALSE,
228,18.684759916492695,0.09166862230037025,0.06824455930217643,-0.023424062998193815,985,426,559,FALSE,FALSE,
229,21.779548472775563,0.14507703110933629,0.13186321410978302,-0.013213816999553263,601,284,317,FALSE,FALSE,
230,25.46875,0.10785322998006984,0.14282630951667383,0.03497307953660399,1245,969,276,FALSE,FALSE,
231,25.519287833827892,0.09405604331850481,0.14225022486644956,0.04819418154794475,901,690,211,FALSE,FALSE,
232,17.890520694259013,0.07522105770909701,0.11212284290070158,0.03690178519160457,1165,150,1015,FALSE,FALSE,
233,19.527235354573484,0.05448073282697631,0.0918847803350809,0.037404047508104596,1521,404,1117,FALSE,FALSE,
234,25.519287833827892,0.08027165835432548,0.16244930013391726,0.08217764177959178,797,676,121,FALSE,FALSE,
235,25.519287833827892,0.09525446745444167,0.14561086875341994,0.05035640129897827,1175,966,209,FALSE,FALSE,
236,25.235849056603772,0.10677414789691028,0.13124388982839255,0.02446974193148227,1442,1134,308,FALSE,FALSE,
237,25.06393861892583,0.08456459392508278,0.1319248385620965,0.047360244637013715,926,746,180,FALSE,FALSE,
