source_file,survey_folder,file_name,variable_name,variable_label,family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7N,(Нэр) ӨНГИЙГ ТАНЬЖ ЯЛГАЖ ЧАДДАГ УУ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC7M,"(Нэр) ГУРВАЛЖИН, ДӨРВӨЛЖИН, ДУГУЙ ГЭХ МЭТ ЭНГИЙН ДҮРСИЙГ ТАНЬЖ ЯЛГАДАГ УУ?",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC8,(Нэр) ЦАГААН ТОЛГОЙН 10 ҮСЭГ (ДООД ТАЛ НЬ) НЭРЛЭЖ МЭДДЭГ ҮҮ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC9,(Нэр) ЭНГИЙН 4 ҮГ (ДООД ТАЛ НЬ) УНШИЖ ЧАДДАГ УУ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC9A,(Нэр) ТОО ТООЛЖ ЧАДДАГ УУ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC10,(Нэр) 10 ХҮРТЭЛХ ТООГ ТАНЬЖ НЭРЛЭДЭГ ҮҮ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC11,"(Нэр) ЯМАР НЭГ ЭД ЗҮЙЛ БОЛОН МОД, ЧУЛУУГ ХОЁР ХУРУУГААРАА ЧИМХЭЖ АВЧ ЧАДДАГ УУ?",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC11A,"(Нэр) ЭРХИЙ, ДОЛООВОР, ДУНД ХУРУУГААРАА ХАЛБАГА, СЭРЭЭ, БАЛ ЗЭРГИЙГ БАРЬЖ ЧАДДАГ УУ?",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC12,"(Нэр) ТОГЛОХООС ДУРГҮЙЦЭЖ БИЕ НЬ ТАВГҮЙРХЭЖ, СУЛЬДДАГ УУ?",other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC13,(Нэр)-Д АЛИВАА ЗҮЙЛИЙГ ЗӨВ ХИЙХИЙГ ЗААЖ ӨГӨХӨД ТҮҮНИЙГ ДАГАЖ ХИЙЖ ЧАДДАГ УУ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC14,(Нэр)-Д ЯМАР НЭГ ЭНГИЙН ЗҮЙЛ ХИЙЛГЭХЭЭР ӨГӨХӨД БИЕ ДААН ХИЙХ ЧАДВАРТАЙ ЮУ?,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC15,(Нэр) БУСАД ХҮҮХЭДТЭЙ ЭВТЭЙ ТОГЛОДОГ УУ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC16,"(Нэр) БУСАД ХҮҮХЭД, ЭСВЭЛ ТОМЧУУДЫГ ӨШИГЛӨЖ, ХАЗАЖ, ЦОХИДОГ УУ?",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,EC17,(Нэр)-ИЙН АНХААРАЛ АМАРХАН САРНИДАГ УУ?,other
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD2,(Нэр) ЭХИЙН СҮҮГЭЭР ХООЛЛОЖ БАЙСАН УУ?,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD3,(Нэр) ОДОО ЭХИЙН СҮҮГЭЭР ХООЛЛОЖ БАЙГАА ЮУ?,parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD4,"ӨЧИГДӨР ӨДРИЙН ТУРШ, ЭСВЭЛ УРЬД ШӨНӨ УГЖААР ЯМАР НЭГ ШИНГЭН ЗҮЙЛ УУСАН УУ?",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD5,"ӨЧИГДӨР ӨДРИЙН ТУРШ, ЭСВЭЛ УРЬД ШӨНӨ ШИНГЭН СЭЛБЭХ ДАВСНЫ УУСМАЛ УУСАН УУ?",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD6,"(Нэр) ӨЧИГДӨР ӨДРИЙН ТУРШ ЭСВЭЛ УРЬД ШӨНӨ АМИНДЭМ, ЭРДЭС БОДИС АГУУЛСАН ЯМАР НЭГ БЭЛДМЭЛ, БҮТЭЭГДЭХҮҮН, ЭСВЭЛ ЭМ УУЖ, ИД",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7A,УС УУСАН УУ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7B,ЖИМСНИЙ ШҮҮС УУСАН УУ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7C,ШИНГЭЛСЭН УСАН ШӨЛ УУСАН УУ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7D,"МАЛЫН СҮҮ, ЛААЗАЛСАН, САВЛАСАН ЭСВЭЛ ХУУРАЙ СҮҮ УУСАН УУ?",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7DN,"(Нэр) МАЛЫН СҮҮ, ЛААЗАЛСАН, САВЛАСАН, ХУУРАЙ СҮҮ ХЭДЭН УДАА УУСАН БЭ?",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7E,ҮЙЛДВЭРИЙН АРГААР БОЛОВСРУУЛСАН ХҮҮХДИЙН СҮҮН ТЭЖЭЭЛ УУСАН УУ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7EN,(Нэр) ҮЙЛДВЭРИЙН АРГААР БОЛОВСРУУЛСАН ХҮҮХДИЙН СҮҮН ТЭЖЭЭЛ ХЭДЭН УДАА УУСАН БЭ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7G,ЦАЙ УУСАН УУ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD7F,ЭДГЭЭРЭЭС БУСАД ТӨРЛИЙН ШИНГЭН ЗҮЙЛ УУСАН УУ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8A,ТАРАГ УУСАН УУ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8AN,(Нэр) ТАРАГ ХЭДЭН УДАА УУСАН БЭ?,wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8B,"ҮЙЛДВЭРИЙН АРГААР БОЛОВСРУУЛЖ, БАЯЖУУЛСАН ХҮҮХДИЙН НЭМЭГДЭЛ БҮТЭЭГДЭХҮҮН ИДСЭН ҮҮ?",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8C,"ТАЛХ, БУДАА, КАША, ГОЙМОН БОЛОН ҮР ТАРИАГААР ХИЙСЭН БУСАД БҮТЭЭГДЭХҮҮН ИДСЭН ҮҮ?",wealth_assets_housing
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8D,"ЛУУВАН, ХУЛУУ, АМТАТ ТӨМС ЗЭРЭГ ДОТРОО ШАР, УЛБАР ШАР ӨНГӨТЭЙ БҮТЭЭГДЭХҮҮН БОЛОН ШАР ӨНГИЙН НУХАШ ИДСЭН ҮҮ?",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8E,"ТӨМС, МАНЖИН, ЦАГААН ЛУУВАН ЗЭРЭГ ЦАГААН ӨНГИЙН ТӨРЛИЙН ҮНДЭСЛЭДЭГ БҮТЭЭГДЭХҮҮН ИДСЭН ҮҮ?",parents_family
C:/tsogoo/Hicheel/erdem shinjilgeenii hural/ecnometric/shine/data/НҮТС-2013/Child.sav,НҮТС-2013,Child.sav,BD8F,"ЦЭЦЭГТ БАЙЦАА, БУУЦАЙ БОЛОН ЯМАР НЭГ ТӨРЛИЙН НАВЧИТ ХҮНСНИЙ НОГОО ИДСЭН ҮҮ?",parents_family
