b,gamma_boot,distance_cutoff_km_boot,beta_low_boot,beta_high_boot,beta_diff_boot,N_boot,N_low_boot,N_high_boot,warning_flag,failed_flag,warning_note
267,0,0,0.11840290234794613,0.08453027384652764,-0.03387262850141849,3154,813,2341,TRUE,FALSE,S_cluster unavailable; used robust S
268,5.322112856214436,204.81617227094975,0.11980355946404843,0.09590161546824563,-0.023901943995802796,3836,1880,1956,FALSE,FALSE,
269,0,0,0.11767343655037245,0.09186549043769966,-0.025807946112672786,3091,813,2278,TRUE,FALSE,S_cluster unavailable; used robust S
270,5.893695483748599,362.7433225537648,0.10977288512936706,0.09808693350867342,-0.011685951620693635,2362,1339,1023,FALSE,FALSE,
271,6.228819337004976,507.15634914338665,0.11786744701606977,0.060774559752371254,-0.057092887263698516,3933,2942,991,FALSE,FALSE,
272,6.228819337004976,507.15634914338665,0.11441731376406156,0.06277178337665702,-0.051645530387404534,4601,3863,738,FALSE,FALSE,
273,6.212866024558282,499.129721333,0.11247481923112831,0.06414955897246574,-0.04832526025866257,3446,2132,1314,FALSE,FALSE,
274,5.893695483748599,362.7433225537648,0.12038034548547367,0.08587124347722006,-0.03450910200825362,3267,1459,1808,FALSE,FALSE,
275,6.228819337004976,507.15634914338665,0.11228308191052319,0.06289455737756956,-0.04938852453295363,2995,2275,720,FALSE,FALSE,
276,5.322112856214436,204.81617227094975,0.12163082802516341,0.10104575360202533,-0.020585074423138075,3667,1992,1675,FALSE,FALSE,
277,5.893695483748599,362.7433225537648,0.12687415806481045,0.11573216487157414,-0.011141993193236305,2238,1041,1197,FALSE,FALSE,
278,6.228819337004976,507.15634914338665,0.09475865862765115,0.07036527446736515,-0.024393384160285997,2437,1420,1017,FALSE,FALSE,
279,6.228819337004976,507.15634914338665,0.1129486067696166,0.07624685094082564,-0.036701755828790955,3923,2949,974,FALSE,FALSE,
280,6.031531866870764,416.3523374741248,0.07546055944815161,0.0889643134344528,0.013503753986301187,2253,904,1349,FALSE,FALSE,
281,6.228819337004976,507.15634914338665,0.1085641697910977,0.07770858028222993,-0.03085558950886777,3146,2223,923,FALSE,FALSE,
282,0,0,0.11943008228291632,0.07677206330827102,-0.0426580189746453,3469,813,2656,TRUE,FALSE,S_cluster unavailable; used robust S
283,6.031531866870764,416.3523374741248,0.11716228710269909,0.08537335714633941,-0.03178892995635968,2546,1207,1339,FALSE,FALSE,
284,5.893695483748599,362.7433225537648,0.10051779167519782,0.08075410243098725,-0.01976368924421057,2547,1030,1517,FALSE,FALSE,
285,5.492901229668555,242.9610711962522,0.1144011714306858,0.12139198958457822,0.0069908181538924224,2207,447,1760,FALSE,FALSE,
286,6.228819337004976,507.15634914338665,0.11223900413178366,0.06026758454792408,-0.05197141958385958,3034,2021,1013,FALSE,FALSE,
287,0,0,0.1184747760125559,0.07832875020781753,-0.040146025804738375,3371,813,2558,TRUE,FALSE,S_cluster unavailable; used robust S
288,5.492901229668555,242.9610711962522,0.12152216104649488,0.1158297860452702,-0.0056923750012246865,4295,2718,1577,FALSE,FALSE,
289,6.228819337004976,507.15634914338665,0.11405661151998171,0.07179173637913157,-0.042264875140850144,3235,2320,915,FALSE,FALSE,
290,6.228819337004976,507.15634914338665,0.11396078885495411,0.0779475192173022,-0.03601326963765192,3220,2347,873,FALSE,FALSE,
291,5.893695483748599,362.7433225537648,0.11692053596963427,0.05825545725978487,-0.0586650787098494,3569,1356,2213,FALSE,FALSE,
292,6.031531866870764,416.3523374741248,0.11531171281431626,0.06080318063918755,-0.054508532175128716,3847,2501,1346,FALSE,FALSE,
293,6.228819337004976,507.15634914338665,0.10263472355998228,0.07451322101140694,-0.028121502548575344,2605,2137,468,FALSE,FALSE,
294,6.228819337004976,507.15634914338665,0.10419806213974842,0.0745697321170307,-0.02962833002271771,2666,1461,1205,FALSE,FALSE,
295,3.166224512012111,23.717768951505168,0.11915758064977626,0.09479537843118192,-0.024362202218594337,5285,3476,1809,FALSE,FALSE,
296,6.33846246873975,565.9255139453393,0.07050055417272455,0.073628803325737,0.0031282491530124495,2539,1601,938,FALSE,FALSE,
297,5.492901229668555,242.9610711962522,0.1559665970073262,0.106545096731097,-0.04942150027622921,2556,312,2244,FALSE,FALSE,
298,6.031531866870764,416.3523374741248,0.1160534391754883,0.0892382889880342,-0.026815150187454104,3166,1549,1617,FALSE,FALSE,
299,6.228819337004976,507.15634914338665,0.09939440861193395,0.0832567641968407,-0.016137644415093258,2190,1169,1021,FALSE,FALSE,
300,5.492901229668555,242.9610711962522,0.12002032634959664,0.11071101541282655,-0.009309310936770093,4866,3482,1384,FALSE,FALSE,
301,0,0,0.11820465699477219,0.06194474697424233,-0.05625991002052986,3844,1626,2218,TRUE,FALSE,S_cluster unavailable; used robust S
302,6.273816383131787,530.4981035071357,0.06572360228332244,0.043158979827864534,-0.022564622455457907,2446,1664,782,FALSE,FALSE,
303,6.228819337004976,507.15634914338665,0.109831643105013,0.07865973166550427,-0.03117191143950873,2521,1373,1148,FALSE,FALSE,
304,6.228819337004976,507.15634914338665,0.09631377042193932,0.061053629066344456,-0.03526014135559487,2526,1496,1030,FALSE,FALSE,
305,0,0,0.11810488053238005,0.07039139972173666,-0.04771348081064339,3368,813,2555,TRUE,FALSE,S_cluster unavailable; used robust S
306,6.228819337004976,507.15634914338665,0.10767315019416662,0.08354814042032332,-0.024125009773843298,3217,2293,924,FALSE,FALSE,
307,5.893695483748599,362.7433225537648,0.12014297788985465,0.07658208478500027,-0.04356089310485438,3445,1646,1799,FALSE,FALSE,
308,5.492901229668555,242.9610711962522,0.12104767545227853,0.08387102276027658,-0.037176652692001946,4272,3073,1199,FALSE,FALSE,
309,5.893695483748599,362.7433225537648,0.1288622802302778,0.089781580235205,-0.0390806999950728,2630,1317,1313,FALSE,FALSE,
310,6.228819337004976,507.15634914338665,0.08755792641537329,0.07515491404663623,-0.01240301236873706,2948,1387,1561,FALSE,FALSE,
311,5.240965028193771,188.85226225436716,0.11448093053773117,0.10541813095599206,-0.009062799581739112,2765,340,2425,FALSE,FALSE,
